Algoritmo;Archivos;Cantidad;Patrones;Tiempo_Promedio(ns);Varianza(ns)
Boyer-Moore;Proteins;20;patrones1_100_Existente;11424483000;0 
FM-Index;Proteins;30;patrones1_100_Existente;93329000;0 
KMP;Proteins;30;patrones1_100_Existente;85537705000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;178565746000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17636236000;0 
FM-Index;Proteins;40;patrones1_100_Existente;149962000;0 
KMP;Proteins;40;patrones1_100_Existente;111070130000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;239078557000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;24339641000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4014000;0 
KMP;Proteins;10;patrones1_100_Existente;26781789000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;59211398000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5277530000;0 
FM-Index;Proteins;20;patrones1_100_Existente;9882000;0 
KMP;Proteins;20;patrones1_100_Existente;55363029000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;116203505000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11584569000;0 
FM-Index;Proteins;30;patrones1_100_Existente;112899000;0 
KMP;Proteins;30;patrones1_100_Existente;82799124000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;180362941000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17449446000;0 
FM-Index;Proteins;40;patrones1_100_Existente;282052000;0 
KMP;Proteins;40;patrones1_100_Existente;112387503000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;236043843000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;23895692000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4107000;0 
KMP;Proteins;10;patrones1_100_Existente;25975498000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;58934410000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5248961000;0 
FM-Index;Proteins;20;patrones1_100_Existente;9012000;0 
KMP;Proteins;20;patrones1_100_Existente;54626752000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;117641338000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11208651000;0 
FM-Index;Proteins;30;patrones1_100_Existente;153065000;0 
KMP;Proteins;30;patrones1_100_Existente;83916921000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;176596864000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17366468000;0 
FM-Index;Proteins;40;patrones1_100_Existente;400941000;0 
KMP;Proteins;40;patrones1_100_Existente;112624900000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;237474605000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;23295552000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4567000;0 
KMP;Proteins;10;patrones1_100_Existente;26981369000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;57585143000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5175218000;0 
FM-Index;Proteins;20;patrones1_100_Existente;10591000;0 
KMP;Proteins;20;patrones1_100_Existente;54787508000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;117632392000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11549902000;0 
FM-Index;Proteins;30;patrones1_100_Existente;65265000;0 
KMP;Proteins;30;patrones1_100_Existente;82936629000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;178325916000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;19997973000;0 
FM-Index;Proteins;40;patrones1_100_Existente;354930000;0 
KMP;Proteins;40;patrones1_100_Existente;124759698000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;241749247000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;23840798000;0 
FM-Index;Proteins;10;patrones1_100_Existente;7794000;0 
KMP;Proteins;10;patrones1_100_Existente;26965498000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;58169568000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;4975006000;0 
FM-Index;Proteins;20;patrones1_100_Existente;11830000;0 
KMP;Proteins;20;patrones1_100_Existente;55172179000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;117667068000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11795745000;0 
FM-Index;Proteins;30;patrones1_100_Existente;113544000;0 
KMP;Proteins;30;patrones1_100_Existente;82956703000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;178674869000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17222652000;0 
FM-Index;Proteins;40;patrones1_100_Existente;145037000;0 
KMP;Proteins;40;patrones1_100_Existente;110988239000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;236965717000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;23983572000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4073000;0 
KMP;Proteins;10;patrones1_100_Existente;27177545000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;58059311000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;5225402000;0 
FM-Index;Proteins;20;patrones1_100_Existente;9208000;0 
KMP;Proteins;20;patrones1_100_Existente;54810720000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;119014116000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11766791000;0 
FM-Index;Proteins;30;patrones1_100_Existente;62434000;0 
KMP;Proteins;30;patrones1_100_Existente;83087923000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;179575382000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17443850000;0 
FM-Index;Proteins;40;patrones1_100_Existente;242671000;0 
KMP;Proteins;40;patrones1_100_Existente;112211724000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;238076761000;0 
Boyer-Moore;Proteins;40;patrones1_100_Existente;23894332000;0 
FM-Index;Proteins;10;patrones1_100_Existente;4248000;0 
KMP;Proteins;10;patrones1_100_Existente;26140998000;0 
Robin-Karp;Proteins;10;patrones1_100_Existente;58298963000;0 
Boyer-Moore;Proteins;10;patrones1_100_Existente;4977154000;0 
FM-Index;Proteins;20;patrones1_100_Existente;13779000;0 
KMP;Proteins;20;patrones1_100_Existente;54153596000;0 
Robin-Karp;Proteins;20;patrones1_100_Existente;116970945000;0 
Boyer-Moore;Proteins;20;patrones1_100_Existente;11596254000;0 
FM-Index;Proteins;30;patrones1_100_Existente;202952000;0 
KMP;Proteins;30;patrones1_100_Existente;82922585000;0 
Robin-Karp;Proteins;30;patrones1_100_Existente;176551586000;0 
Boyer-Moore;Proteins;30;patrones1_100_Existente;17677821000;0 
FM-Index;Proteins;40;patrones1_100_Existente;327363000;0 
KMP;Proteins;40;patrones1_100_Existente;115768491000;0 
Robin-Karp;Proteins;40;patrones1_100_Existente;238694353000;0 
